name,__tag
items_resource_ore_prometium_fullname,item
items_resource_ore_prometium_code,item
items_resource_ore_prometium_description,item
items_resource_ore_prometium_short,item
items_resource_ore_endurium_fullname,item
items_resource_ore_endurium_code,item
items_resource_ore_endurium_description,item
items_resource_ore_endurium_short,item
items_resource_ore_terbium_fullname,item
items_resource_ore_terbium_code,item
items_resource_ore_terbium_description,item
items_resource_ore_terbium_short,item
items_resource_ore_xenomit_fullname,item
items_resource_ore_xenomit_code,item
items_resource_ore_xenomit_description,item
items_resource_ore_xenomit_short,item
items_resource_ore_prometid_fullname,item
items_resource_ore_prometid_code,item
items_resource_ore_prometid_description,item
items_resource_ore_prometid_short,item
items_resource_ore_duranium_fullname,item
items_resource_ore_duranium_code,item
items_resource_ore_duranium_description,item
items_resource_ore_duranium_short,item
items_resource_ore_promerium_fullname,item
items_resource_ore_promerium_code,item
items_resource_ore_promerium_description,item
items_resource_ore_promerium_short,item
items_resource_ore_seprom_fullname,item
items_resource_ore_seprom_code,item
items_resource_ore_seprom_description,item
items_resource_ore_seprom_short,item
items_resource_ore_seprom_sources,item
items_resource_ore_palladium_fullname,item
items_resource_ore_palladium_code,item
items_resource_ore_palladium_description,item
items_resource_ore_palladium_short,item
items_resource_ore_osmium_fullname,item
items_resource_ore_osmium_code,item
items_resource_ore_osmium_description,item
items_resource_ore_osmium_short,item
items_resource_ore_osmium_sources,item
items_resource_logfile_fullname,item
items_resource_logfile_description,item
items_resource_logfile_code,item
items_resource_logfile_short,item
items_resource_logfile_sources,item
items_resource_booty-key_fullname,item
items_resource_booty-key_description,item
items_resource_booty-key_code,item
items_resource_booty-key_short,item
items_resource_booty-key_sources,item
items_resource_booty-key-green_fullname,item
items_resource_booty-key-green_description,item
items_resource_booty-key-green_code,item
items_resource_booty-key-green_short,item
items_resource_booty-key-red_fullname,item
items_resource_booty-key-red_description,item
items_resource_booty-key-red_code,item
items_resource_booty-key-red_short,item
items_resource_booty-key-blue_fullname,item
items_resource_booty-key-blue_description,item
items_resource_booty-key-blue_code,item
items_resource_booty-key-blue_short,item
items_resource_booty-key-silver_fullname,item
items_resource_booty-key-silver_description,item
items_resource_booty-key-silver_code,item
